codigo,nombre,tipo,capitulo,grupo,subgrupo,categoria,codigo_jerarquico,sexo_aplicable,quirurgico,habilitado,actualizado_en
010101,PUNCIÓN CISTERNAL- VÍA LATERAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES EN CISTERNA,01.0.1.01,Z,true,true,2026-04-29 12:54:39
010102,PUNCIÓN CISTERNAL- VÍA MEDIAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES EN CISTERNA,01.0.1.02,Z,true,true,2026-04-29 12:54:39
010103,PUNCIÓN CISTERNAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES EN CISTERNA,01.0.1.03,Z,true,true,2026-04-29 12:54:39
010201,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS,01.0.2.01,Z,true,true,2026-04-29 12:54:39
010202,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR POR TREPANACIÓN (SIN CATÉTER),CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS,01.0.2.02,Z,true,true,2026-04-29 12:54:39
010203,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE UN RESERVORIO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS,01.0.2.03,Z,true,true,2026-04-29 12:54:39
010204,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR- VÍA TRANSFONTANELAR,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS,01.0.2.04,Z,true,true,2026-04-29 12:54:39
010205,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS,01.0.2.05,Z,true,true,2026-04-29 12:54:39
010901,PUNCIÓN SUBDURAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIÓN CRANEAL,01.0.9.01,Z,true,true,2026-04-29 12:54:39
010902,OTRA PUNCIÓN CRANEAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO),PUNCIÓN CRANEAL,01.0.9.02,Z,true,true,2026-04-29 12:54:39
